"Serial Number","Player Name","Footy Teams","Comment"
"13","Simon Madden","Essendon","Simon Madden, born on 30-12-1957, debuted on 09-07-1974, height 198 cm, weight 99 kg. A true legend of the game, Simon Madden had an illustrious career spanning 19 seasons and 378 games. Playing for Essendon, he amassed an incredible 4611 total disposals and 575 goals. His impact on the game is reflected in his 15.3 Impact Score and 4.5% Consistency Score. Peak performances include 25 disposals and 8 goals in a single game. His consistency is evident with 17 games of 20+ disposals and 83 games with 3+ goals. A true champion, he earned 58 Brownlow votes throughout his career, cementing his status as one of the greats."
"14","Scott Pendlebury","Collingwood","Scott Pendlebury, born on 07-01-1988, debuted on 29-05-2006, height 191 cm, weight 90 kg. A true legend of the game, Scott Pendlebury had an illustrious career spanning 20 seasons and 405 games. Playing for Collingwood, he amassed an incredible 10328 total disposals and 201 goals. His impact on the game is reflected in his 55.1 Impact Score and 84.9% Consistency Score. Peak performances include 42 disposals and 4 goals in a single game. His consistency is evident with 344 games of 20+ disposals and 6 games with 3+ goals. A true champion, he earned 223 Brownlow votes throughout his career, cementing his status as one of the greats."
"15","Bill Hutchison","Essendon","Bill Hutchison, born on 28-04-1923, debuted on 11-05-1942, height 174 cm, weight 70 kg. A true legend of the game, Bill Hutchison had an illustrious career spanning 16 seasons and 290 games. Playing for Essendon, he amassed an incredible 0 total disposals and 496 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 7 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 76 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"16","Bob Skilton","South Melbourne","Bob Skilton, born on 08-11-1938, debuted on 08-05-1956, height 171 cm, weight 76 kg. A true legend of the game, Bob Skilton had an illustrious career spanning 15 seasons and 237 games. Playing for South Melbourne, he amassed an incredible 2609 total disposals and 412 goals. His impact on the game is reflected in his 0.0 Impact Score and 35.9% Consistency Score. Peak performances include 46 disposals and 8 goals in a single game. His consistency is evident with 85 games of 20+ disposals and 65 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"17","Lou Richards","Collingwood","Lou Richards, born on 15-03-1923, debuted on 02-06-1941, height 170 cm, weight 73 kg. A true legend of the game, Lou Richards had an illustrious career spanning 15 seasons and 250 games. Playing for Collingwood, he amassed an incredible 0 total disposals and 423 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 7 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 66 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"18","Gary Ablett","Geelong - Gold Coast","Gary Ablett, born on 14-05-1984, debuted on 26-03-2002, height 182 cm, weight 87 kg. A true legend of the game, Gary Ablett had an illustrious career spanning 19 seasons and 357 games. Playing for Geelong - Gold Coast, he amassed an incredible 8896 total disposals and 445 goals. His impact on the game is reflected in his 73.4 Impact Score and 66.9% Consistency Score. Peak performances include 53 disposals and 6 goals in a single game. His consistency is evident with 239 games of 20+ disposals and 45 games with 3+ goals. A true champion, he earned 262 Brownlow votes throughout his career, cementing his status as one of the greats."
"19","Robert Harvey","St Kilda","Robert Harvey, born on 21-08-1971, debuted on 02-08-1988, height 181 cm, weight 86 kg. A true legend of the game, Robert Harvey had an illustrious career spanning 21 seasons and 383 games. Playing for St Kilda, he amassed an incredible 9656 total disposals and 215 goals. His impact on the game is reflected in his 56.1 Impact Score and 77.0% Consistency Score. Peak performances include 45 disposals and 4 goals in a single game. His consistency is evident with 295 games of 20+ disposals and 11 games with 3+ goals. A true champion, he earned 215 Brownlow votes throughout his career, cementing his status as one of the greats."
"20","Brad Johnson","Footscray - Western Bulldogs","Brad Johnson, born on 18-07-1976, debuted on 19-07-1994, height 182 cm, weight 87 kg. A true legend of the game, Brad Johnson had an illustrious career spanning 17 seasons and 364 games. Playing for Footscray - Western Bulldogs, he amassed an incredible 7172 total disposals and 558 goals. His impact on the game is reflected in his 21.2 Impact Score and 53.0% Consistency Score. Peak performances include 36 disposals and 8 goals in a single game. His consistency is evident with 193 games of 20+ disposals and 86 games with 3+ goals. A true champion, he earned 77 Brownlow votes throughout his career, cementing his status as one of the greats."
"21","Joel Selwood","Geelong","Joel Selwood, born on 26-05-1988, debuted on 28-03-2007, height 183 cm, weight 84 kg. A true legend of the game, Joel Selwood had an illustrious career spanning 16 seasons and 355 games. Playing for Geelong, he amassed an incredible 8746 total disposals and 175 goals. His impact on the game is reflected in his 60.3 Impact Score and 75.8% Consistency Score. Peak performances include 43 disposals and 4 goals in a single game. His consistency is evident with 269 games of 20+ disposals and 8 games with 3+ goals. A true champion, he earned 214 Brownlow votes throughout his career, cementing his status as one of the greats."
"22","Travis Boak","Port Adelaide","Travis Boak, born on 01-08-1988, debuted on 13-06-2007, height 183 cm, weight 85 kg. A true legend of the game, Travis Boak had an illustrious career spanning 19 seasons and 372 games. Playing for Port Adelaide, he amassed an incredible 8676 total disposals and 210 goals. His impact on the game is reflected in his 46.8 Impact Score and 71.2% Consistency Score. Peak performances include 41 disposals and 4 goals in a single game. His consistency is evident with 265 games of 20+ disposals and 10 games with 3+ goals. A true champion, he earned 174 Brownlow votes throughout his career, cementing his status as one of the greats."
"23","Ron Barassi","Melbourne - Carlton","Ron Barassi, born on 27-02-1936, debuted on 11-05-1953, height 179 cm, weight 87 kg. A true legend of the game, Ron Barassi had an illustrious career spanning 17 seasons and 254 games. Playing for Melbourne - Carlton, he amassed an incredible 1130 total disposals and 330 goals. His impact on the game is reflected in his 0.0 Impact Score and 13.0% Consistency Score. Peak performances include 36 disposals and 6 goals in a single game. His consistency is evident with 33 games of 20+ disposals and 33 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"24","Michael Tuck","Hawthorn","Michael Tuck, born on 24-06-1953, debuted on 16-05-1972, height 188 cm, weight 76 kg. A true legend of the game, Michael Tuck had an illustrious career spanning 20 seasons and 426 games. Playing for Hawthorn, he amassed an incredible 8423 total disposals and 320 goals. His impact on the game is reflected in his 9.6 Impact Score and 52.3% Consistency Score. Peak performances include 36 disposals and 6 goals in a single game. His consistency is evident with 223 games of 20+ disposals and 29 games with 3+ goals. A true champion, he earned 41 Brownlow votes throughout his career, cementing his status as one of the greats."
"25","Arthur Olliver","Footscray","Arthur Olliver, born on 10-12-1916, debuted on 07-05-1935, height 189 cm, weight 87 kg. A true legend of the game, Arthur Olliver had an illustrious career spanning 16 seasons and 272 games. Playing for Footscray, he amassed an incredible 0 total disposals and 354 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 7 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 56 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"26","Paul Roos","Fitzroy - Sydney","Paul Roos, born on 27-06-1963, debuted on 13-04-1982, height 188 cm, weight 88 kg. A true legend of the game, Paul Roos had an illustrious career spanning 17 seasons and 356 games. Playing for Fitzroy - Sydney, he amassed an incredible 6997 total disposals and 289 goals. His impact on the game is reflected in his 33.1 Impact Score and 50.0% Consistency Score. Peak performances include 42 disposals and 7 goals in a single game. His consistency is evident with 178 games of 20+ disposals and 39 games with 3+ goals. A true champion, he earned 118 Brownlow votes throughout his career, cementing his status as one of the greats."
"27","Tony Lockett","St Kilda - Sydney","Tony Lockett, born on 09-03-1966, debuted on 12-04-1983, height 191 cm, weight 104 kg. A true legend of the game, Tony Lockett had an illustrious career spanning 18 seasons and 281 games. Playing for St Kilda - Sydney, he amassed an incredible 2867 total disposals and 1360 goals. His impact on the game is reflected in his 45.6 Impact Score and 2.8% Consistency Score. Peak performances include 21 disposals and 16 goals in a single game. His consistency is evident with 8 games of 20+ disposals and 213 games with 3+ goals. A true champion, he earned 128 Brownlow votes throughout his career, cementing his status as one of the greats."
"28","Harry Vallence","Carlton","Harry Vallence, born on 04-06-1905, debuted on 26-04-1926, height 183 cm, weight 81 kg. A true legend of the game, Harry Vallence had an illustrious career spanning 13 seasons and 204 games. Playing for Carlton, he amassed an incredible 0 total disposals and 722 goals. His impact on the game is reflected in his 7.4 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 11 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 130 games with 3+ goals. A true champion, he earned 15 Brownlow votes throughout his career, cementing his status as one of the greats."
"29","Scott West","Footscray - Western Bulldogs","Scott West, born on 14-11-1974, debuted on 21-03-1993, height 178 cm, weight 80 kg. A true legend of the game, Scott West had an illustrious career spanning 16 seasons and 324 games. Playing for Footscray - Western Bulldogs, he amassed an incredible 8222 total disposals and 104 goals. His impact on the game is reflected in his 54.0 Impact Score and 81.5% Consistency Score. Peak performances include 45 disposals and 6 goals in a single game. His consistency is evident with 264 games of 20+ disposals and 4 games with 3+ goals. A true champion, he earned 175 Brownlow votes throughout his career, cementing his status as one of the greats."
"30","Jimmy Freake","Fitzroy","Jimmy Freake, born on 27-01-1889, debuted on 23-04-1912, height 178 cm, weight 63 kg. A true legend of the game, Jimmy Freake had an illustrious career spanning 13 seasons and 174 games. Playing for Fitzroy, he amassed an incredible 0 total disposals and 442 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 10 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 77 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"31","Norm Smith","Melbourne - Fitzroy","Norm Smith, born on 21-11-1915, debuted on 12-08-1935, height 183 cm, weight 81 kg. A true legend of the game, Norm Smith had an illustrious career spanning 16 seasons and 227 games. Playing for Melbourne - Fitzroy, he amassed an incredible 0 total disposals and 572 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 12 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 100 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"32","Keith Forbes","Essendon - North Melbourne - Fitzroy","Keith Forbes, born on 28-05-1906, debuted on 21-05-1928, height 171 cm, weight 72 kg. A true legend of the game, Keith Forbes had an illustrious career spanning 13 seasons and 187 games. Playing for Essendon - North Melbourne - Fitzroy, he amassed an incredible 0 total disposals and 475 goals. His impact on the game is reflected in his 12.8 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 9 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 85 games with 3+ goals. A true champion, he earned 24 Brownlow votes throughout his career, cementing his status as one of the greats."
"33","John Peck","Hawthorn","John Peck, born on 07-08-1937, debuted on 15-04-1954, height 188 cm, weight 91 kg. A true legend of the game, John Peck had an illustrious career spanning 13 seasons and 213 games. Playing for Hawthorn, he amassed an incredible 334 total disposals and 475 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.5% Consistency Score. Peak performances include 21 disposals and 8 goals in a single game. His consistency is evident with 1 games of 20+ disposals and 83 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"34","Garry Wilson","Fitzroy","Garry Wilson, born on 17-07-1953, debuted on 13-04-1971, height 178 cm, weight 70 kg. A true legend of the game, Garry Wilson had an illustrious career spanning 14 seasons and 268 games. Playing for Fitzroy, he amassed an incredible 6709 total disposals and 452 goals. His impact on the game is reflected in his 0.0 Impact Score and 76.9% Consistency Score. Peak performances include 45 disposals and 7 goals in a single game. His consistency is evident with 206 games of 20+ disposals and 66 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"35","Mark Ricciuto","Adelaide","Mark Ricciuto, born on 08-06-1975, debuted on 25-04-1993, height 184 cm, weight 93 kg. A true legend of the game, Mark Ricciuto had an illustrious career spanning 15 seasons and 312 games. Playing for Adelaide, he amassed an incredible 6569 total disposals and 292 goals. His impact on the game is reflected in his 46.8 Impact Score and 55.1% Consistency Score. Peak performances include 41 disposals and 6 goals in a single game. His consistency is evident with 172 games of 20+ disposals and 38 games with 3+ goals. A true champion, he earned 146 Brownlow votes throughout his career, cementing his status as one of the greats."
"36","Wayne Campbell","Richmond","Wayne Campbell, born on 23-09-1972, debuted on 16-04-1991, height 189 cm, weight 88 kg. A true legend of the game, Wayne Campbell had an illustrious career spanning 15 seasons and 297 games. Playing for Richmond, he amassed an incredible 6926 total disposals and 172 goals. His impact on the game is reflected in his 23.6 Impact Score and 74.1% Consistency Score. Peak performances include 41 disposals and 4 goals in a single game. His consistency is evident with 220 games of 20+ disposals and 13 games with 3+ goals. A true champion, he earned 70 Brownlow votes throughout his career, cementing his status as one of the greats."
"37","Bill Goggin","Geelong","Bill Goggin, born on 04-01-1941, debuted on 29-04-1958, height 175 cm, weight 70 kg. A true legend of the game, Bill Goggin had an illustrious career spanning 14 seasons and 248 games. Playing for Geelong, he amassed an incredible 3614 total disposals and 279 goals. His impact on the game is reflected in his 0.0 Impact Score and 48.0% Consistency Score. Peak performances include 45 disposals and 7 goals in a single game. His consistency is evident with 119 games of 20+ disposals and 30 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"38","Simon Black","Brisbane Lions","Simon Black, born on 03-04-1979, debuted on 23-03-1998, height 186 cm, weight 81 kg. A true legend of the game, Simon Black had an illustrious career spanning 16 seasons and 322 games. Playing for Brisbane Lions, he amassed an incredible 7580 total disposals and 171 goals. His impact on the game is reflected in his 57.1 Impact Score and 75.5% Consistency Score. Peak performances include 39 disposals and 3 goals in a single game. His consistency is evident with 243 games of 20+ disposals and 7 games with 3+ goals. A true champion, he earned 184 Brownlow votes throughout his career, cementing his status as one of the greats."
"39","Andrew McLeod","Adelaide","Andrew McLeod, born on 04-08-1976, debuted on 01-05-1995, height 181 cm, weight 81 kg. A true legend of the game, Andrew McLeod had an illustrious career spanning 16 seasons and 340 games. Playing for Adelaide, he amassed an incredible 6724 total disposals and 275 goals. His impact on the game is reflected in his 42.4 Impact Score and 50.3% Consistency Score. Peak performances include 39 disposals and 7 goals in a single game. His consistency is evident with 171 games of 20+ disposals and 24 games with 3+ goals. A true champion, he earned 144 Brownlow votes throughout his career, cementing his status as one of the greats."
"40","Allen Aylett","North Melbourne","Allen Aylett, born on 24-04-1934, debuted on 15-04-1952, height 174 cm, weight 80 kg. A true legend of the game, Allen Aylett had an illustrious career spanning 13 seasons and 220 games. Playing for North Melbourne, he amassed an incredible 0 total disposals and 311 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 6 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 46 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"41","Bill Eason","Geelong","Bill Eason, born on 15-12-1881, debuted on 29-04-1902, height 178 cm, weight 79 kg. A true legend of the game, Bill Eason had an illustrious career spanning 14 seasons and 220 games. Playing for Geelong, he amassed an incredible 0 total disposals and 187 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 3 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 7 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"42","Terry Daniher","South Melbourne - Essendon","Terry Daniher, born on 15-08-1957, debuted on 18-05-1976, height 188 cm, weight 89 kg. A true legend of the game, Terry Daniher had an illustrious career spanning 17 seasons and 313 games. Playing for South Melbourne - Essendon, he amassed an incredible 5278 total disposals and 469 goals. His impact on the game is reflected in his 10.9 Impact Score and 32.6% Consistency Score. Peak performances include 33 disposals and 8 goals in a single game. His consistency is evident with 102 games of 20+ disposals and 72 games with 3+ goals. A true champion, he earned 34 Brownlow votes throughout his career, cementing his status as one of the greats."
"43","Percy Beames","Melbourne","Percy Beames, born on 27-07-1911, debuted on 15-06-1931, height 165 cm, weight 70 kg. A true legend of the game, Percy Beames had an illustrious career spanning 14 seasons and 213 games. Playing for Melbourne, he amassed an incredible 0 total disposals and 323 goals. His impact on the game is reflected in his 17.4 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 6 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 54 games with 3+ goals. A true champion, he earned 37 Brownlow votes throughout his career, cementing his status as one of the greats."
"44","Bill Mohr","St Kilda","Bill Mohr, born on 29-06-1909, debuted on 22-04-1929, height 182 cm, weight 81 kg. A true legend of the game, Bill Mohr had an illustrious career spanning 13 seasons and 195 games. Playing for St Kilda, he amassed an incredible 0 total disposals and 735 goals. His impact on the game is reflected in his 7.7 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 11 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 135 games with 3+ goals. A true champion, he earned 15 Brownlow votes throughout his career, cementing his status as one of the greats."
"45","Gary Ablett","Hawthorn - Geelong","Gary Ablett, born on 01-10-1961, debuted on 29-03-1982, height 185 cm, weight 97 kg. A true legend of the game, Gary Ablett had an illustrious career spanning 14 seasons and 248 games. Playing for Hawthorn - Geelong, he amassed an incredible 3747 total disposals and 1031 goals. His impact on the game is reflected in his 39.9 Impact Score and 16.9% Consistency Score. Peak performances include 36 disposals and 14 goals in a single game. His consistency is evident with 42 games of 20+ disposals and 168 games with 3+ goals. A true champion, he earned 99 Brownlow votes throughout his career, cementing his status as one of the greats."
"46","Percy Parratt","Fitzroy","Percy Parratt, born on 27-02-1887, debuted on 26-04-1909, height 178 cm, weight 74 kg. A true legend of the game, Percy Parratt had an illustrious career spanning 13 seasons and 195 games. Playing for Fitzroy, he amassed an incredible 0 total disposals and 202 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 6 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 19 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"47","Nathan Buckley","Brisbane Bears - Collingwood","Nathan Buckley, born on 26-07-1972, debuted on 22-03-1993, height 186 cm, weight 91 kg. A true legend of the game, Nathan Buckley had an illustrious career spanning 15 seasons and 280 games. Playing for Brisbane Bears - Collingwood, he amassed an incredible 6887 total disposals and 284 goals. His impact on the game is reflected in his 63.6 Impact Score and 74.6% Consistency Score. Peak performances include 46 disposals and 6 goals in a single game. His consistency is evident with 209 games of 20+ disposals and 28 games with 3+ goals. A true champion, he earned 178 Brownlow votes throughout his career, cementing his status as one of the greats."
"48","Les Hughes","Collingwood","Les Hughes, born on 18-04-1884, debuted on 27-04-1908, height 188 cm, weight 93 kg. A true legend of the game, Les Hughes had an illustrious career spanning 15 seasons and 225 games. Playing for Collingwood, he amassed an incredible 0 total disposals and 175 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 6 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 11 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"49","Jason Dunstall","Hawthorn","Jason Dunstall, born on 14-08-1964, debuted on 03-04-1985, height 188 cm, weight 98 kg. A true legend of the game, Jason Dunstall had an illustrious career spanning 14 seasons and 269 games. Playing for Hawthorn, he amassed an incredible 3207 total disposals and 1254 goals. His impact on the game is reflected in his 48.0 Impact Score and 6.7% Consistency Score. Peak performances include 29 disposals and 17 goals in a single game. His consistency is evident with 18 games of 20+ disposals and 207 games with 3+ goals. A true champion, he earned 129 Brownlow votes throughout his career, cementing his status as one of the greats."
"50","Alan Ruthven","Fitzroy","Alan Ruthven, born on 17-04-1922, debuted on 01-07-1940, height 173 cm, weight 73 kg. A true legend of the game, Alan Ruthven had an illustrious career spanning 14 seasons and 222 games. Playing for Fitzroy, he amassed an incredible 0 total disposals and 442 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 9 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 78 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"51","John Murphy","Fitzroy - South Melbourne - North Melbourne","John Murphy, born on 20-11-1949, debuted on 11-04-1967, height 183 cm, weight 83 kg. A true legend of the game, John Murphy had an illustrious career spanning 14 seasons and 246 games. Playing for Fitzroy - South Melbourne - North Melbourne, he amassed an incredible 6050 total disposals and 374 goals. His impact on the game is reflected in his 0.0 Impact Score and 80.5% Consistency Score. Peak performances include 43 disposals and 7 goals in a single game. His consistency is evident with 198 games of 20+ disposals and 58 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"52","Dustin Martin","Richmond","Dustin Martin, born on 26-06-1991, debuted on 20-03-2010, height 187 cm, weight 93 kg. A true legend of the game, Dustin Martin had an illustrious career spanning 15 seasons and 302 games. Playing for Richmond, he amassed an incredible 7320 total disposals and 338 goals. His impact on the game is reflected in his 70.5 Impact Score and 74.5% Consistency Score. Peak performances include 43 disposals and 6 goals in a single game. His consistency is evident with 225 games of 20+ disposals and 33 games with 3+ goals. A true champion, he earned 213 Brownlow votes throughout his career, cementing his status as one of the greats."
